date,open,high,low,close,volume
2006-11-09,201.38,201.38,201.38,201.38,191300
2006-11-10,198.6,198.6,198.6,198.6,144700
2006-11-13,196.27,196.27,196.27,196.27,118500
2006-11-14,195.83,195.83,195.83,195.83,152100
2006-11-15,194.74,194.74,194.74,194.74,112200
2006-11-16,192.95,192.95,192.95,192.95,103100
2006-11-17,195.83,195.83,195.83,195.83,202700
2006-11-20,197.17,197.17,197.17,197.17,229100
2006-11-21,202.94,202.94,202.94,202.94,263000
2006-11-22,209.94,209.94,209.94,209.94,412000
2006-11-23,224.03,224.03,224.03,224.03,578600
2006-11-24,237.45,237.45,237.45,237.45,33900
2006-11-27,226.75,226.75,226.75,226.75,648700
2006-11-28,226.07,226.07,226.07,226.07,756500
2006-11-29,221.8,221.8,221.8,221.8,907100
2006-11-30,223.79,223.79,223.79,223.79,568300
2006-12-01,221.92,221.92,221.92,221.92,572300
2006-12-04,219.64,219.64,219.64,219.64,577700
2006-12-05,214.96,214.96,214.96,214.96,767200
2006-12-06,214.77,214.77,214.77,214.77,648000
2006-12-07,220.54,220.54,220.54,220.54,614900
2006-12-08,224.85,224.85,224.85,224.85,612800
2006-12-11,229.72,229.72,229.72,229.72,1119000
2006-12-12,228.33,228.33,228.33,228.33,113600
2006-12-13,232.34,232.34,232.34,232.34,1001700
2006-12-14,240.23,240.23,240.23,240.23,1372800
2006-12-15,245.4,245.4,245.4,245.4,1755200
2006-12-18,252.59,252.59,252.59,252.59,1535600
2006-12-19,257.4,257.4,257.4,257.4,2207200
2006-12-20,258.78,258.78,258.78,258.78,2185000
2006-12-21,251.08,251.08,251.08,251.08,1839800
2006-12-22,236.73,236.73,236.73,236.73,629400
2006-12-25,232.46,232.46,232.46,232.46,1279400
2006-12-26,237.04,237.04,237.04,237.04,1104000
2006-12-27,241.47,241.47,241.47,241.47,1439000
2006-12-28,243.38,243.38,243.38,243.38,1676400
2006-12-29,242.84,242.84,242.84,242.84,1406800
2007-01-02,241.92,241.92,241.92,241.92,1240400
2007-01-03,246.32,246.32,246.32,246.32,1407800
2007-01-04,258.06,258.06,258.06,258.06,1934100
